,City,latitude,longitude,Tipo,Bedrooms,Bathrooms,Surface,Zone,Zone_Val,Price_USD,Price_m2_USD
466,Ciudad de Guatemala,14.639,-90.507,42021,7,3,275.0,Zona 1,1,209150.33,760.55
467,Ciudad de Guatemala,14.61,-90.483,42020,3,3,187.78,Zona 16,16,242005.1,1288.77
468,Ciudad de Guatemala,14.63,-90.515,42021,3,3,233.0,Zona 1,1,250000.0,1072.96
469,Ciudad de Guatemala,14.61,-90.483,42021,3,3,594.0,Zona 16,16,955000.0,1607.74
470,Ciudad de Guatemala,14.61,-90.483,42021,3,4,350.0,Zona 16,16,775000.0,2214.29
471,Ciudad de Guatemala,14.67,-90.502,42021,3,4,175.0,Zona 2,2,176470.59,1008.4
472,Ciudad de Guatemala,14.595,-90.504,42021,5,2,177.0,Zona 10,10,315000.0,1779.66
474,Ciudad de Guatemala,14.635,-90.516,42020,1,1,42.0,Zona 1,1,70180.13,1670.96
475,Ciudad de Guatemala,14.635,-90.516,42020,1,1,44.0,Zona 1,1,72816.08,1654.91
476,Ciudad de Guatemala,14.595,-90.495,42020,3,2,114.0,Zona 15,15,226000.0,1982.46
477,Ciudad de Guatemala,14.64,-90.51,42020,3,2,70.28,Zona 1,1,99346.41,1413.58
478,Ciudad de Guatemala,14.606,-90.482,42020,3,4,560.0,Zona 16,16,1275000.0,2276.79
479,Ciudad de Guatemala,14.595,-90.495,42020,3,4,300.0,Zona 15,15,635000.0,2116.67
