revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
89,76020,Zona 4,4/22/20,6/3/20,42.00,2.00,1.00,36.00,14.62,-90.515
91,1800000,Zona 1,4/22/20,6/3/20,42.00,5.00,6.00,850.00,14.636,-90.505
91,145000,Zona 2,4/22/20,6/3/20,42.00,5.00,3.00,250.00,14.665,-90.509
7,61688,Zona 1,4/21/20,4/21/20,0.00,3.00,2.00,119.00,14.639,-90.51
7,265584,,4/21/20,4/21/20,0.00,3.00,3.00,210.00,14.634,-90.506
5,95000,Zona 9,4/21/20,4/21/20,0.00,1.00,1.00,69.00,14.607,-90.52
7,675000,Zona 15,3/31/20,4/20/20,20.00,4.00,3.00,640.00,14.599,-90.493
11,1300000,Zona 15,4/20/20,4/21/20,1.00,5.00,5.00,1000.00,14.599,-90.493
6,129870,Zona 15,4/20/20,4/27/20,7.00,3.00,3.00,220.00,14.599,-90.493
12,950000,Zona 15,4/20/20,4/23/20,3.00,5.00,3.00,14500.00,14.599,-90.493
5,136364,Zona 4 de Mixco,4/20/20,4/20/20,0.00,3.00,2.00,95.00,14.655,-90.542
14,136364,Zona 7,4/14/20,5/16/20,32.00,4.00,3.00,300.00,14.645,-90.538
9,270000,Zona 15,1/15/20,4/16/20,92.00,3.00,2.00,136.00,14.599,-90.493
11,270000,Zona 15,1/15/20,4/16/20,92.00,3.00,2.00,170.00,14.595,-90.495
9,168182,Zona 9,1/13/20,4/16/20,94.00,3.00,2.00,245.00,14.595,-90.521
9,95455,Zona 7,1/9/20,4/16/20,98.00,3.00,2.00,91.00,14.645,-90.538
11,123377,Zona 5,1/15/20,4/16/20,92.00,4.00,2.00,150.00,14.631,-90.507
15,129870,Zona 1,1/16/20,5/31/20,136.00,4.00,2.00,247.00,14.639,-90.51
5,143740,Zona 15,4/16/20,4/16/20,0.00,2.00,2.00,66.00,14.595,-90.495
47,184000,Zona 16,1/4/20,6/1/20,149.00,2.00,3.00,160.00,14.617,-90.472
